,appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price
10670,0.001,1,0,25,220,29,0,0,5.99
10671,0.001,1,0,0,702,309,73,142,0.0
10672,0.001,1,0,0,8,5,0,0,3.99
10673,0.001,1,0,0,13,16,0,0,0.0
10674,0.001,1,0,39,4854,2493,280,251,8.99
10675,0.001,1,0,0,7,2,0,0,3.99
10676,0.001,1,0,13,2,8,0,0,11.99
10677,0.001,1,0,0,5,1,0,0,2.79
10678,0.001,1,0,0,0,1,0,0,1.59
10679,0.001,1,0,30,3599,89,284,284,15.0
10680,0.001,1,0,28,9,0,210,210,0.79
10681,0.001,1,0,0,8,0,272,317,0.79
10682,0.001,1,0,0,18,6,0,0,2.79
10683,0.001,1,0,22,17,3,0,0,11.39
10684,0.001,1,0,22,1,12,0,0,2.79
10685,0.001,1,0,0,626,46,43,43,6.99
10686,0.001,1,0,20,3,3,0,0,2.79
10687,0.001,1,0,0,10,4,0,0,10.99
10688,0.001,1,0,52,19,3,0,0,5.19
10689,0.001,1,0,0,5,7,0,0,11.39
10690,0.001,1,0,1,6,0,0,0,3.99
10691,0.001,1,0,0,34,24,0,0,3.99
10692,0.001,1,0,0,37,21,0,0,1.99
10693,0.001,1,0,8,23,8,0,0,0.79
10694,0.001,1,0,13,2,2,0,0,2.89
10695,0.001,1,0,0,5,3,0,0,1.5
10696,0.001,1,0,19,6,2,0,0,3.99
10697,0.001,1,0,33,20,27,0,0,1.99
10698,0.001,1,0,42,2163,151,1474,2078,22.99
10699,0.001,1,0,25,39,15,0,0,7.19
10700,0.001,1,0,0,8,2,0,0,4.99
10701,0.001,1,0,0,13,14,308,308,1.99
10702,0.001,1,0,12,744,345,10575,15852,0.0
10703,0.001,1,0,40,8,0,0,0,4.79
10704,0.001,1,0,32,172,70,126,126,7.19
10705,0.001,1,0,31,36,7,0,0,6.99
10706,0.001,1,0,56,19,3,0,0,11.39
10707,0.001,1,0,23,59,18,0,0,11.39
10708,0.001,1,0,37,5,8,0,0,6.99
10709,0.001,1,0,10,630,201,61,120,7.99
10710,0.001,1,0,4,17,1,0,0,10.99
10711,0.001,1,0,0,2,1,0,0,1.0
10712,0.001,1,0,8,169,11,0,0,6.99
